회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,1,1,291,13.023,,,,
2,5,1,1,185,9.89,,,,
3,5,1,1,105,5.513,,,,
4,5,1,1,232,11.858,,,,
5,5,1,1,124,6.375,937,46.659,187.4,9.3318
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,1,5,232,10.566,,,,
2,5,1,5,222,12.165,,,,
3,5,1,5,175,9.467,,,,
4,5,1,5,206,11.691,,,,
5,5,1,5,83,4.54,918,48.429,183.6,9.6858
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,5,1,264,13.501,,,,
2,5,5,1,181,9.76,,,,
3,5,5,1,233,13.999,,,,
4,5,5,1,123,7.21,,,,
5,5,5,1,144,8.483,945,52.953,189,10.5906
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,5,5,230,12.238,,,,
2,5,5,5,139,7.314,,,,
3,5,5,5,117,6.06,,,,
4,5,5,5,282,14.874,,,,
5,5,5,5,173,9.802,941,50.288,188.2,10.0576
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,1,3,135,6.819,,,,
2,5,1,3,102,5.218,,,,
3,5,1,3,270,13.612,,,,
4,5,1,3,267,13.807,,,,
5,5,1,3,221,11.178,995,50.634,199,10.1268
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,2,2,142,7.478,,,,
2,5,2,2,330,17.189,,,,
3,5,2,2,125,6.51,,,,
4,5,2,2,151,7.969,,,,
5,5,2,2,166,8.953,914,48.099,182.8,9.6198
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,2,4,106,5.507,,,,
2,5,2,4,146,7.977,,,,
3,5,2,4,126,6.512,,,,
4,5,2,4,123,6.321,,,,
5,5,2,4,196,9.249,697,35.566,139.4,7.1132
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,3,1,158,9.321,,,,
2,5,3,1,61,3.532,,,,
3,5,3,1,97,5.719,,,,
4,5,3,1,196,11.822,,,,
5,5,3,1,213,13.12,725,43.514,145,8.7028
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,3,3,104,5.921,,,,
2,5,3,3,125,7.684,,,,
3,5,3,3,94,5.695,,,,
4,5,3,3,208,13.2,,,,
5,5,3,3,207,13.357,738,45.857,147.6,9.1714
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,3,5,119,7.269,,,,
2,5,3,5,279,17.984,,,,
3,5,3,5,107,6.85,,,,
4,5,3,5,93,5.917,,,,
5,5,3,5,64,4.115,662,42.135,132.4,8.427
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,4,2,72,4.647,,,,
2,5,4,2,94,5.831,,,,
3,5,4,2,346,21.962,,,,
4,5,4,2,103,6.597,,,,
5,5,4,2,184,11.835,799,50.872,159.8,10.1744
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,4,4,185,11.216,,,,
2,5,4,4,198,12.377,,,,
3,5,4,4,231,14.93,,,,
